scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold54.101.1	47.9254166666667	3.88968799196836	40	45	48	50	56	439.024494158532
superscaffold54.100.1	49.2245833333333	4.00155989501438	42	46	49	52	57	542.724437810155
superscaffold54.99.1	39.383125	3.60420539733177	32	37	39	42	46	998.777614463541
superscaffold54.98.1	38.56625	2.92928863776128	33	37	39	40	44.0249999999996	486.575236278515
superscaffold54.97.1	47.8639583333333	3.06538338300147	42	46	48	50	54	425.938160824916
superscaffold54.96.1	45.7758333333333	2.48289823300908	41	44	46	47	51	1457.8202142827
superscaffold54.95.1	44.5591666666667	2.35277904100849	40	43	44	46	50	2068.96068464597
superscaffold54.94.1	44.6979166666667	2.72172536253874	40	43	45	46	50	2041.50908180538
superscaffold54.93.1	37.2214583333333	3.07879402676349	32	35	37	39	44	2045.03366728084
superscaffold54.92.1	41.925625	3.29011375732715	36	40	42	44	48	661.361912731566
superscaffold54.91.1	52.848125	2.68892456198803	48	51	53	55	58	1494.85735973545
superscaffold54.90.1	51.0747916666667	3.03765867767666	46	49	51	53	57	690.58318094036
superscaffold54.89.1	45.8689583333333	2.95773431672352	40	44	46	48	52	184.128195921255
superscaffold54.88.1	39.4739583333333	2.73580538959723	35	38	39	41	45	954.877758947641
superscaffold54.87.1	39.103125	2.99105957961977	34	37	39	41	45	683.552341084539
superscaffold54.86.1	35.9708333333333	2.66438765745902	31	34	36	38	42	1185.52474561124
superscaffold54.85.1	38.4877083333333	2.81162690290648	33	37	38	40	44	1522.42411468494
superscaffold54.84.1	43.79	2.95483541040157	38	42	44	46	50	1369.40940644284
superscaffold54.83.1	37.6625	2.57956327645371	33	36	38	39	43	698.315724867143
superscaffold54.82.1	48.8970833333333	2.39508592413937	45	47	49	50	54	809.029385765584
superscaffold54.81.1	44.2735416666667	2.74504762702084	39	42	44	46	50	1396.83636239453
superscaffold54.80.1	33.1658333333333	2.69564707676365	28	31	33	35	39	2253.76114168541
superscaffold54.79.1	33.9139583333333	2.70904363925668	29	32	34	36	40	2494.13144691062
superscaffold54.78.1	35.8408333333333	2.66534475292435	31	34	36	38	41	2713.75760520904
superscaffold54.77.1	37.498125	2.94203156405583	32	36	38	39	43	1757.01119512043
superscaffold54.76.1	32.3922916666667	3.00940786421515	27	30	32	34	38	1547.50317242867
superscaffold54.75.1	39.8135416666667	3.11086125699898	34	38	40	42	46	2331.45247609097
superscaffold54.74.1	44.2275	2.95755801399166	39	42	44	46	50	2501.1384431459
superscaffold54.73.1	47.214375	2.70083716367046	42	45	47	49	53	708.32121802596
superscaffold54.72.1	42.3191666666667	2.73215808147641	37	40	42	44	48	1446.68632185172
superscaffold54.71.1	38.6552083333333	2.74012918261485	34	37	39	40	44	1370.19344771333
superscaffold54.70.1	33.795625	2.85513645066337	29	32	34	36	40	287.874036378713
superscaffold54.69.1	33.0970833333333	3.35987499540073	27	31	33	35	40	1615.94005065427
superscaffold54.68.1	46.2979166666667	3.10703612923471	40	44	46	48	52	2163.1981740754
superscaffold54.67.1	42.985	2.97782734891425	37	41	43	45	49	1259.17237789842
superscaffold54.66.1	50.4429166666667	3.41815139261492	44	48	50	53	57	755.945530376348
superscaffold54.65.1	49.909375	3.03496255889639	44	48	50	52	56	1004.29652499949
superscaffold54.64.1	42.8425	2.95985960987842	37	41	43	45	49	1241.62958867035
superscaffold54.63.1	40.2333333333333	3.04890562648393	35	38	40	42	46	1823.27074552945
superscaffold54.62.1	38.1972916666667	2.9399832869917	33	36	38	40	44	1931.02505988771
superscaffold54.61.1	38.8527083333333	2.52476233272986	34	37	39	40	44	2919.45945190902
superscaffold54.60.1	49.2025	3.71575970445988	42	47	49	52	57	529.124565347952
superscaffold54.59.1	39.1895833333333	3.61226289907952	32.975	37	39	42	47	787.163007612102
superscaffold54.58.1	28.98375	2.98878686882834	23	27	29	31	35	1467.62498210852
superscaffold54.57.1	41.05	3.31502229042236	35	39	41	43	48	1538.58196467153
superscaffold54.56.1	42.7627083333333	2.82476784094072	37	41	43	45	48	731.599147894453
superscaffold54.55.1	46.6297916666667	2.82603691428428	41	45	47	48	52	1756.74253175899
superscaffold54.54.1	38.5325	2.68615840339291	33	37	39	40	44	1337.49315913478
superscaffold54.53.1	31.9345833333333	2.59157993369953	27	30	32	34	37	3709.71675152843
superscaffold54.52.1	35.0927083333333	2.49474316209402	30	33	35	37	40	498.35275500842
superscaffold54.51.1	45.27625	2.45720583015935	41	44	45	47	50	2257.73453445394
superscaffold54.50.1	46.690625	2.18261797820868	43	45	47	48	51	1434.69176273282
superscaffold54.49.1	30.74875	3.16191497244592	25	29	31	33	37	795.909408955296
superscaffold54.48.1	39.5866666666667	2.94811514819192	34	38	40	41	45	805.537813649397
superscaffold54.47.1	41.4835416666667	2.99720991990088	36	39	41	43	47	1881.47579974277
superscaffold54.46.1	35.3466666666667	2.91389049155304	30	33	35	37	41	2374.17071126989
superscaffold54.45.1	37.1235416666667	2.90882998685178	32	35	37	39	43	1790.6954927013
superscaffold54.44.1	40.5147916666667	3.29399074599937	34	38	40	43	47	1176.63865675734
superscaffold54.43.1	31.95125	2.72105971490475	27	30	32	34	38	3079.9053388493
superscaffold54.42.1	36.2029166666667	3.43984591789751	30	34	36	38	43	1549.47340607658
superscaffold54.41.1	40.3310416666667	2.86557099781215	35	38	40	42	46	1961.50908019918
superscaffold54.40.1	44.3002083333333	2.54954652745519	40	43	44	46	49.0249999999996	2277.13105824124
