ChrZ	0	200000	superscaffold26	0	200000	100000.0	297.30780000000107	278.76904609067424	0.27855330238364934	172423	296.812045	287.77435	305.1303125
ChrZ	200000	400000	superscaffold26	200000	400000	300000.0	273.4911000000016	263.5480870523563	0.15800643520547727	162040	273.527097	264.836615	282.46915
ChrZ	400000	600000	superscaffold26	400000	600000	500000.0	357.51880000000307	369.5310610969403	-0.1362332446974864	189695	357.631978	349.069485	367.681545
ChrZ	600000	800000	superscaffold26	600000	800000	700000.0	294.2279000000003	294.27187474081285	-0.0006260047931741836	181544	295.015752	286.742835	303.0541725
ChrZ	800000	1000000	superscaffold26	800000	1000000	900000.0	418.3059000000018	416.3214166591768	0.019980660968661804	177852	419.765472	411.8190025	432.99645
ChrZ	1000000	1200000	superscaffold26	1000000	1200000	1100000.0	460.95790000000295	463.11177222141333	-0.019498024016737395	188714	460.961482	448.631905	472.93584
ChrZ	1200000	1400000	superscaffold26	1200000	1400000	1300000.0	431.62630000000263	456.0650319258958	-0.22464636487276282	188759	431.145013	418.0349225	441.98627
ChrZ	1400000	1600000	superscaffold26	1400000	1600000	1500000.0	345.16270000000253	372.631626826968	-0.3089422644263434	177338	345.497281	336.335095	355.0771875
ChrZ	1600000	1800000	superscaffold26	1600000	1800000	1700000.0	382.0297000000027	396.8724134435484	-0.15675516197206096	181785	381.76204	372.5932675	390.164895
ChrZ	1800000	2000000	superscaffold26	1800000	2000000	1900000.0	487.33740000000336	478.33273125973125	0.07892464391425076	187767	486.815332	473.3481625	497.544875
ChrZ	2000000	2200000	superscaffold26	2000000	2200000	2100000.0	440.20340000000346	439.4347248284744	0.007332864165931834	178993	439.120525	427.61545	449.9983375
ChrZ	2200000	2400000	superscaffold26	2200000	2400000	2300000.0	471.93780000000476	510.18399739547056	-0.3143196787040457	188545	472.19636	461.12074	483.01707
ChrZ	2400000	2600000	superscaffold26	2400000	2600000	2500000.0	556.5340000000053	568.2491374305351	-0.08645153279876346	188356	556.429838	542.3759425	572.5169675
ChrZ	2600000	2800000	superscaffold26	2600000	2800000	2700000.0	380.52180000000175	412.0933724818663	-0.3211331173212757	189552	380.694702	371.2292525	392.65205
ChrZ	2800000	3000000	superscaffold26	2800000	3000000	2900000.0	452.18380000000485	480.0239489306555	-0.24315635385256432	187365	453.107762	441.274075	463.9519775
ChrZ	3000000	3200000	superscaffold26	3000000	3200000	3100000.0	364.06570000000175	377.42341022791993	-0.14832955646126586	182776	364.288918	353.3544925	375.12307
ChrZ	3200000	3400000	superscaffold26	3200000	3400000	3300000.0	478.75750000000323	485.6613411670695	-0.05959924283379835	188020	477.99912	467.4545325	489.32691
ChrZ	3400000	3600000	superscaffold26	3400000	3600000	3500000.0	422.42390000000313	426.7505922965428	-0.04249998989548915	187272	421.933888	411.24458	430.8076825
ChrZ	3600000	3800000	superscaffold26	3600000	3800000	3700000.0	435.8040000000037	448.45455240673687	-0.11825745710783778	186920	436.040197	425.1271325	448.206565
ChrZ	3800000	4000000	superscaffold26	3800000	4000000	3900000.0	359.03520000000236	361.3568423541399	-0.02692476052579849	169131	359.202996	348.13623	369.78846
ChrZ	4000000	4200000	superscaffold26	4000000	4200000	4100000.0	385.991200000003	401.1004576208589	-0.1578907102198862	187249	386.672217	377.0193825	399.2101725
ChrZ	4200000	4400000	superscaffold26	4200000	4400000	4300000.0	350.3688000000016	356.2831893413673	-0.06956596104804205	185708	350.462689	340.333415	358.3714975
ChrZ	4400000	4600000	superscaffold26	4400000	4600000	4500000.0	373.82650000000183	358.5381462359329	0.17869496451872163	191504	372.962163	361.7159475	383.8422775
ChrZ	4600000	4800000	superscaffold26	4600000	4800000	4700000.0	369.60810000000197	369.812930708761	-0.002321254808999037	182113	368.843906	357.98593	379.569405
ChrZ	4800000	5000000	superscaffold26	4800000	5000000	4900000.0	406.02260000000183	388.1344554771066	0.19316448920270238	190496	406.183499	393.418825	416.97586
ChrZ	5000000	5200000	superscaffold26	5000000	5200000	5100000.0	359.87040000000223	359.6656246832157	0.002385986527387933	183800	359.881423	349.266125	371.4876375
ChrZ	5200000	5400000	superscaffold26	5200000	5400000	5300000.0	374.5334000000023	372.631626826968	0.021389190564435303	193624	373.475434	362.1735175	382.9825725
ChrZ	5400000	5600000	superscaffold26	5400000	5600000	5500000.0	337.2946000000017	367.8398434260161	-0.34800922751155206	189355	337.495507	328.4054325	347.9550475
ChrZ	5600000	5800000	superscaffold26	5600000	5800000	5700000.0	315.59350000000205	325.27753204109007	-0.12474190932307018	187795	315.568842	306.13987	326.666975
ChrZ	5800000	6000000	superscaffold26	5800000	6000000	5900000.0	278.57070000000147	309.49283377913076	-0.4185881435647567	184045	278.233259	269.2716275	287.632845
ChrZ	6000000	6200000	superscaffold26	6000000	6200000	6100000.0	327.12940000000117	330.3511850538627	-0.0408642591215355	188106	326.440962	317.3894625	337.030835
ChrZ	6200000	6400000	superscaffold26	6200000	6400000	6300000.0	395.14220000000165	391.79876043077576	0.035766883353799676	189751	395.560065	386.3096575	408.17458
ChrZ	6400000	6600000	superscaffold26	6400000	6600000	6500000.0	350.4287000000012	341.9078391385115	0.10442990326792156	177618	350.48674	341.002545	360.92596
ChrZ	6600000	6800000	superscaffold26	6600000	6800000	6700000.0	358.52270000000124	342.4715783621529	0.19639598544518413	180174	358.024181	346.3547475	367.898095
ChrZ	6800000	7000000	superscaffold26	6800000	7000000	6900000.0	408.329300000002	407.0197194690937	0.013486309698015122	188014	408.336302	398.6051525	418.3834525
