thin.pos,pos.Mb,thin.rho,thin.cumRho,thin.Ne,thin.Ne.smooth,Tbar_ZZ,Tbar_ZZ_ci_lo,Tbar_ZZ_ci_hi,Tbar_ZW,Tbar_ZW_ci_lo,Tbar_ZW_ci_hi,Tbar_WW,Tbar_WW_ci_lo,Tbar_WW_ci_hi,Tbar_w,Tw_ci_lo,Tw_ci_hi,Tbar_t,Tt_ci_lo,Tt_ci_hi,FstBarXY,FstBarXY_ci_lo,FstBarXY_ci_hi,Tbar_ff,Tff_ci_lo,Tff_ci_hi,Tbar_mm,Tmm_ci_lo,Tmm_ci_hi,Tbar_fm,Tfm_ci_lo,Tfm_ci_hi,Tbar_wFM,TwFM_ci_lo,TwFM_ci_hi,Tbar_tFM,TtFM_ci_lo,TtFM_ci_hi,FstBarFM,FstFM_ci_lo,FstFM_ci_hi
3525136.0,3.5251360000000003,3.0864635364635403e-05,3.0864635364635403e-05,8429.984009784259,12549.197353076699,1.6153284715207803,0.27667787054806076,1.6900896101658711,48300.744681671655,1215.200043362033,174130.94969721558,0.2501209069084627,0.06059887730975823,0.6369617482768103,0.9327246892146214,0.22188297763898768,0.9944569403793508,24150.838703180434,607.912136023612,87065.78252877145,0.9997848006890112,0.9991892052235172,0.9999956736034735,1.6153284715207803,0.27667787054806076,1.6900896101658711,24151.180005071586,607.912136023612,87065.78252877145,24151.180005071586,608.1426400357775,87065.89690630205,12076.227015825978,304.498686366567,43533.31332207999,18113.703510448784,456.32066320117224,65299.60511419102,0.3332135195496527,0.3328726831347568,0.3333309908870886
3526136.0,3.526136,3.0864635364635403e-05,0.0308955,8429.984009784259,12549.197353076699,1.106231186706198,0.2762093183304225,2.4826812793031516,49.62661731098424,2.3065196060257276,180.7035250508665,0.6019298655805906,0.05757682589665001,0.7844919196610948,0.8540805261433945,0.22303957326773435,4.488112997231259,25.240348918563814,1.4382904733847022,90.76586271103747,0.9216306641516651,0.48895083201814415,0.9956485646503366,1.106231186706198,0.2762093183304225,2.4826812793031516,25.366424248845217,1.4382904733847022,90.76586271103747,25.366424248845217,1.5555415674748285,90.92177674641997,13.173290052635007,1.0522094568167397,46.445043567046525,19.269857150740112,1.3031277883029808,68.37719787700979,0.29726037510219633,0.1236080753771295,0.331042808837391
3527136.0,3.527136,3.0864635364635403e-05,0.0617601353646355,8429.984009784259,12549.197353076699,1.1263642437296857,0.27408442903473484,4.870156387905928,25.061765650100885,1.6100155284383921,88.00460373529089,0.6966960092025029,0.06061374404506859,4.769909567143112,0.9115301264660942,0.2231324486574533,6.11887869487596,12.986647888283489,1.0913440114552082,44.451183252554266,0.8693581870387936,0.24771490175520053,0.9910663299028591,1.1263642437296857,0.27408442903473484,4.870156387905928,13.094064946915285,1.0913440114552082,44.451183252554266,13.094064946915285,1.186531444289998,44.57263863230406,7.056506066006588,0.863735047773446,23.29249955730506,10.075285506460935,1.0329123461680632,33.93467026315666,0.27547229003880247,0.05983472974745947,0.32871736067144697
3528136.0,3.528136,0.0006267877122877121,0.593440726773228,8429.984009784259,12549.197353076699,1.1296107673875535,0.28967686601295023,4.0852597737584455,3.4718096095943562,0.7535072107075577,10.869139988656336,0.6630903057610175,0.05930562927370593,3.879338497530475,0.8963505365742854,0.23771385580681706,2.9749082290948627,2.184080073084321,0.6489111368643473,5.91158154177603,0.517875211104189,-0.28363942545153853,0.9210433627029626,1.1296107673875535,0.28967686601295023,4.0852597737584455,2.3007101884909544,0.6489111368643473,5.91158154177603,2.3007101884909544,0.706094087470419,6.130444471982993,1.656845420235937,0.5795881657794361,4.0386879797281345,1.9787778043634463,0.6551976657957789,5.021820867129952,0.14742120133725325,-0.06749915151068017,0.2936017155999543
3529136.0,3.5291360000000003,0.000138426573426573,1.05076538236763,8429.984009784259,12549.197353076699,1.111699916549584,0.29920496006491776,3.323263702835158,2.4253305209549554,0.6564670942872777,6.896427910146989,0.7052583677151117,0.0580304834369604,3.3676843757959394,0.9084791421323478,0.24636084576561407,2.537890580983015,1.6669048315436517,0.6059567386670879,3.9690278128100225,0.40299387019578636,-0.3361794205296051,0.86770416987019,1.111699916549584,0.29920496006491776,3.323263702835158,1.7685152187522697,0.6059567386670879,3.9690278128100225,1.7685152187522697,0.6562545045300864,4.128728045666747,1.3893023740466177,0.5656843063278285,3.1438534378142386,1.5789087963994437,0.6177984162705622,3.586016219260842,0.1116492183928054,-0.07726186842878345,0.2678680085402744
3530136.0,3.530136,0.000106380619380619,1.1675851925574399,8429.984009784259,12549.197353076699,1.0999633275009664,0.2999351213355498,3.2105742182050423,2.2940264257390637,0.6454190988095311,6.529500932314621,0.7007678118197649,0.06051245164220237,3.098967856400412,0.9003655696603657,0.25191603009363855,2.4383036304791648,1.597195997699715,0.5965586442494626,3.734902165263822,0.38203812318044555,-0.3355539624236074,0.8661208409997361,1.0999633275009664,0.2999351213355498,3.2105742182050423,1.6969948766200151,0.5965586442494626,3.734902165263822,1.6969948766200151,0.6446089179667559,3.9918338534889313,1.3485796626003406,0.5442825019662297,2.937736703240783,1.5227872696101779,0.6063419057491815,3.3953962230535875,0.10571467565486013,-0.08410716012351963,0.2682468293228133
3531136.0,3.531136,0.000106380619380619,1.2739658119380601,8429.984009784259,12549.197353076699,1.0946067628279725,0.29355940072184056,3.1590092768145985,2.1784262185904755,0.6160749788086305,6.0182160415199,0.6978013272534718,0.05828584337600665,3.0572928143552094,0.8962040450407222,0.2511810615605683,2.356314507945205,1.5373151318155989,0.5835008339597774,3.558452336446622,0.36934788108253336,-0.3381070001292821,0.8480336350327723,1.0946067628279725,0.29355940072184056,3.1590092768145985,1.636516490709224,0.5835008339597774,3.558452336446622,1.636516490709224,0.6321615287981874,3.76468300157899,1.3159609473217855,0.5334887556322809,2.911691837649021,1.4762387190155049,0.5927032782424371,3.2667552126037624,0.10156390915820941,-0.08237380179074158,0.25859048373676363
3532136.0,3.532136,0.000106380619380619,1.38034643131868,8429.984009784259,12549.197353076699,1.079286178373275,0.2984090245906249,3.0041318395812255,2.088501773795299,0.6253390366659796,5.6912284126643815,0.721242592006822,0.0601359838476444,3.0425996187167277,0.9002643851900488,0.2546133267877391,2.327724160657383,1.494383079492674,0.5936392003342555,3.3603848203812507,0.35050452671740084,-0.36185793074418043,0.840817546074284,1.079286178373275,0.2984090245906249,3.0041318395812255,1.5838939760842874,0.5936392003342555,3.3603848203812507,1.5838939760842874,0.6339223410475605,3.5460050681188284,1.2868346289329746,0.538686625921678,2.7461756268590407,1.435364302508631,0.6003297394183513,3.0906450629194016,0.09625155178029299,-0.0890508602850032,0.2572599454564861
3533136.0,3.5331360000000003,0.000106380619380619,1.4867270506993002,8429.984009784259,12549.197353076699,1.097260613807681,0.30180610372312766,3.0716274295853188,1.9999081104930136,0.5959556287914243,5.459863561792336,0.7432701910832892,0.060461816608188335,3.0903679479184545,0.920265402445485,0.25696118074318847,2.3825923376947906,1.4600867564692492,0.587784458008189,3.248450920189859,0.3281988557355847,-0.365376455765354,0.8281031921723946,1.097260613807681,0.30180610372312766,3.0716274295853188,1.548584362150347,0.587784458008189,3.248450920189859,1.548584362150347,0.6278690833956713,3.4561556101925324,1.278673685138465,0.5382633374994972,2.7478827475096037,1.4136290236444062,0.5943633695611038,3.0526495590276053,0.08983038722110401,-0.08854562891244869,0.2516324068277879
3534136.0,3.534136,0.000108638361638362,1.59368366308691,8429.984009784259,12549.197353076699,1.0940555735748418,0.30535822960671616,2.9891778119478416,1.9477539236836048,0.5934696547325577,5.256837334011106,0.737471331593145,0.06112553663179518,2.9314887524732103,0.9157634525839934,0.26056989933921776,2.306732646257672,1.4317586881337994,0.5838735412640209,3.1690454273167634,0.318189469938272,-0.36936177967322514,0.8288562090232311,1.0940555735748418,0.30535822960671616,2.9891778119478416,1.5209047486292235,0.5838735412640209,3.1690454273167634,1.5209047486292235,0.620002614913579,3.3613792009152994,1.2629071308543207,0.5333334201709448,2.668404484834664,1.3919059397417721,0.5914993617367437,2.9532995780842297,0.08695414286685141,-0.09015909811908174,0.2514127163876303
